group,category,rating_quality,footprint
"fruits, vegetables, pulses and oilseeds",vegetables,2.32,0.67701809
"fruits, vegetables, pulses and oilseeds",pulses,3.66,0.43492692
drinks,soft drinks,2.74,0.11762172
"fruits, vegetables, pulses and oilseeds",vegetables,3.1,0.66202276
culinary aids and various ingredients,herbs,3.75,0.676515
drinks,soft drinks,3.33,0.5064675
drinks,soft drinks,3.06,0.49800561
drinks,soft drinks,2.6,0.51122506
"fruits, vegetables, pulses and oilseeds",vegetables,2.43,0.48351979
cereal products,"pasta, rice and cereals",3.19,0.7109528
"fruits, vegetables, pulses and oilseeds",vegetables,2.53,0.4732012
"fruits, vegetables, pulses and oilseeds",vegetables,2.74,0.62544862
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.72817912
culinary aids and various ingredients,sauces,2.84,0.79730838
drinks,soft drinks,3.01,0.63979393
cereal products,"pasta, rice and cereals",2.88,0.78633499
starters and mixed dishes,mixed dishes,3.38,0.48414856
cereal products,"pasta, rice and cereals",3.31,0.61000667
starters and mixed dishes,mixed dishes,3.38,0.48323807
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.7,0.64971087
"fruits, vegetables, pulses and oilseeds",vegetables,2.53,0.45710934
drinks,soft drinks,3.2,0.4710064
drinks,soft drinks,2.92,0.4710064
drinks,soft drinks,3.01,0.59422465
"fruits, vegetables, pulses and oilseeds",fruits,2.9,0.61354989
"fruits, vegetables, pulses and oilseeds",pulses,3.08,0.41844255
"fruits, vegetables, pulses and oilseeds",pulses,3.23,0.50378806
"fruits, vegetables, pulses and oilseeds",pulses,3.23,0.41844255
"fruits, vegetables, pulses and oilseeds",vegetables,2.32,0.5056327
"fruits, vegetables, pulses and oilseeds",vegetables,2.59,0.66805842
"fruits, vegetables, pulses and oilseeds",vegetables,2.72,0.75764983
"fruits, vegetables, pulses and oilseeds",vegetables,2.52,0.41306197
cereal products,"pasta, rice and cereals",2.88,0.7109528
"fruits, vegetables, pulses and oilseeds",fruits,2.1,0.62644903
drinks,soft drinks,2.03881032638563,0.71837052
drinks,soft drinks,3.54,0.43706088
drinks,soft drinks,3.56,0.560211
drinks,soft drinks,3.31,0.560211
baby food,milk and baby drinks,3.04,0.79443821
"fruits, vegetables, pulses and oilseeds",fruits,1.98,0.78894356
"fruits, vegetables, pulses and oilseeds",fruits,1.98,0.79216639
"fruits, vegetables, pulses and oilseeds",vegetables,2.43,0.66512918
culinary aids and various ingredients,herbs,3.54,0.3580429
culinary aids and various ingredients,herbs,4.11,0.75027428
culinary aids and various ingredients,spices,3.73,0.45260902
drinks,soft drinks,2.04090420174175,0.44572993
"fruits, vegetables, pulses and oilseeds",fruits,2.46,0.45672809
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.62544862
"fruits, vegetables, pulses and oilseeds",pulses,3.37,0.40070383
"fruits, vegetables, pulses and oilseeds",pulses,3.28,0.76531296
"fruits, vegetables, pulses and oilseeds",pulses,3.29,0.25112226
"fruits, vegetables, pulses and oilseeds",pulses,3.43,0.55573526
starters and mixed dishes,mixed dishes,3.63,0.58560135
culinary aids and various ingredients,herbs,3.75,0.67493098
drinks,soft drinks,3.13,0.039161353
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.57,0.50487197
cereal products,"pasta, rice and cereals",3.0,0.53142619
"fruits, vegetables, pulses and oilseeds",fruits,3.12,0.53645068
"fruits, vegetables, pulses and oilseeds",vegetables,2.26,0.76886569
drinks,soft drinks,1.95027661142363,0.78694354
"fruits, vegetables, pulses and oilseeds",fruits,2.46,0.71126308
drinks,soft drinks,2.31,0.55941394
drinks,soft drinks,2.31,0.51122506
"fruits, vegetables, pulses and oilseeds",pulses,3.22,0.40070383
culinary aids and various ingredients,various ingredients,3.38,0.72893229
"fruits, vegetables, pulses and oilseeds",vegetables,2.43,0.76878086
"fruits, vegetables, pulses and oilseeds",fruits,3.01,0.53149497
culinary aids and various ingredients,various ingredients,3.09,0.47998178
cereal products,flour and pie dough,3.01,0.74353983
"fruits, vegetables, pulses and oilseeds",fruits,2.46,0.4227383
drinks,soft drinks,2.11186373104387,0.47623917
drinks,soft drinks,2.11186373104387,0.59418935
"fruits, vegetables, pulses and oilseeds",fruits,2.79,0.68999518
cereal products,"pasta, rice and cereals",3.0,0.3611855
drinks,water,3.01,0.26707462
drinks,water,2.97,0.26707462
culinary aids and various ingredients,herbs,3.18,0.68984205
cereal products,"pasta, rice and cereals",2.47,0.78850557
"fruits, vegetables, pulses and oilseeds",vegetables,2.89,0.77153164
drinks,soft drinks,2.03881032638563,0.62518391
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.4937144
"fruits, vegetables, pulses and oilseeds",vegetables,2.7,0.76878086
"fruits, vegetables, pulses and oilseeds",fruits,2.9,0.63736976
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.39,0.36764506
culinary aids and various ingredients,various ingredients,3.97,0.65065474
drinks,soft drinks,2.23,0.53528566
"fruits, vegetables, pulses and oilseeds",vegetables,2.21,0.38953613
drinks,soft drinks,2.04801621515767,0.77876867
"fruits, vegetables, pulses and oilseeds",fruits,2.68,0.63396433
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.45782909
"fruits, vegetables, pulses and oilseeds",fruits,2.55,0.68396612
"fruits, vegetables, pulses and oilseeds",fruits,2.25,0.59573668
"fruits, vegetables, pulses and oilseeds",fruits,2.84,0.48923193
"fruits, vegetables, pulses and oilseeds",fruits,2.57,0.36428259
cereal products,"pasta, rice and cereals",2.85,0.70362057
cereal products,"pasta, rice and cereals",2.86,0.78669561
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.72416839
cereal products,"pasta, rice and cereals",2.56,0.7109528
"fruits, vegetables, pulses and oilseeds",fruits,3.12,0.48557222
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,3.07,0.70143671
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.26,0.49375858
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.85,0.67343572
"fruits, vegetables, pulses and oilseeds",fruits,3.04,0.36428259
"fruits, vegetables, pulses and oilseeds",fruits,2.36,0.76992358
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.59451138
"fruits, vegetables, pulses and oilseeds",vegetables,2.49,0.61884889
culinary aids and various ingredients,salt,2.02,0.6040639
"fruits, vegetables, pulses and oilseeds",fruits,3.01,0.54109011
"fruits, vegetables, pulses and oilseeds",vegetables,2.68,0.60184735
"fruits, vegetables, pulses and oilseeds",vegetables,2.43,0.60184735
"fruits, vegetables, pulses and oilseeds",vegetables,2.55,0.59451138
"fruits, vegetables, pulses and oilseeds",fruits,3.12,0.7167487
drinks,soft drinks,3.56,0.37230304
cereal products,bread and viennoiseries,1.95,0.68085378
"fruits, vegetables, pulses and oilseeds",vegetables,2.55,0.73551222
cereal products,bread and viennoiseries,2.73,0.73395328
cereal products,bread and viennoiseries,2.73,0.79177967
cereal products,bread and viennoiseries,2.73,0.66989098
cereal products,flour and pie dough,3.3,0.64470181
cereal products,"pasta, rice and cereals",3.15,0.72363685
sweet products,sugar and honey,3.65,0.78092676
"fruits, vegetables, pulses and oilseeds",vegetables,3.1,0.70467707
culinary aids and various ingredients,salt,2.87,0.6040639
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.36486326
drinks,soft drinks,3.07,0.69418065
cereal products,"pasta, rice and cereals",3.45,0.63091455
baby food,small salted pots and infant dishes,2.84,0.52963323
baby food,small salted pots and infant dishes,2.78,0.58607024
starters and mixed dishes,soups,2.42,0.45026808
starters and mixed dishes,soups,3.07,0.53963209
starters and mixed dishes,soups,2.89,0.13310224
starters and mixed dishes,soups,3.31,0.13310224
starters and mixed dishes,soups,3.07,0.41716588
starters and mixed dishes,soups,2.77,0.41036522
starters and mixed dishes,soups,2.51,0.45364443
starters and mixed dishes,soups,2.59,0.46338981
starters and mixed dishes,soups,2.56,0.51833801
starters and mixed dishes,soups,2.72,0.46678971
starters and mixed dishes,soups,2.42,0.51008144
starters and mixed dishes,soups,2.64,0.47504444
starters and mixed dishes,soups,2.08,0.51833801
starters and mixed dishes,soups,2.69,0.69623474
starters and mixed dishes,soups,2.4,0.73957743
starters and mixed dishes,soups,3.07,0.46338981
starters and mixed dishes,soups,2.83,0.53963209
starters and mixed dishes,soups,2.65,0.58294
starters and mixed dishes,soups,2.83,0.37389477
starters and mixed dishes,soups,2.59,0.41716588
starters and mixed dishes,soups,2.69,0.52055044
starters and mixed dishes,soups,2.4,0.56385411
drinks,soft drinks,2.95,0.45317029
drinks,soft drinks,2.18,0.44576589
"meat, eggs, fish",meat substitutes,2.2,0.59378245
culinary aids and various ingredients,sauces,2.49,0.75260085
"fruits, vegetables, pulses and oilseeds",vegetables,2.9,0.75265763
"fruits, vegetables, pulses and oilseeds",vegetables,2.89,0.71880137
"fruits, vegetables, pulses and oilseeds",vegetables,2.38,0.39129915
"fruits, vegetables, pulses and oilseeds",vegetables,2.51,0.39129915
"fruits, vegetables, pulses and oilseeds",pulses,3.29,0.37684712
"fruits, vegetables, pulses and oilseeds",vegetables,2.38,0.61884889
"fruits, vegetables, pulses and oilseeds",vegetables,2.51,0.61884889
drinks,soft drinks,2.74,0.5220287
drinks,soft drinks,3.02,0.5220287
"fruits, vegetables, pulses and oilseeds",fruits,2.14,0.47706578
"fruits, vegetables, pulses and oilseeds",fruits,2.14,0.54865923
"fruits, vegetables, pulses and oilseeds",fruits,2.25,0.49649032
sweet products,sugar and honey,2.88,0.61236596
sweet products,sugar and honey,2.99,0.61236596
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,3.0,0.70962933
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.6,0.30392412
"fruits, vegetables, pulses and oilseeds",vegetables,2.55,0.54275358
drinks,soft drinks,2.95,0.10203293
culinary aids and various ingredients,various ingredients,2.99,0.72893229
"fruits, vegetables, pulses and oilseeds",fruits,2.92,0.48961605
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.6,0.62996196
culinary aids and various ingredients,herbs,3.75,0.68984205
drinks,soft drinks,2.98,0.039161353
"fruits, vegetables, pulses and oilseeds",vegetables,2.88,0.7269832
starters and mixed dishes,mixed dishes,2.59,0.66453615
"fruits, vegetables, pulses and oilseeds",vegetables,3.11,0.66989659
drinks,soft drinks,2.11410595215084,0.49791655
culinary aids and various ingredients,various ingredients,3.19,0.71829418
"fruits, vegetables, pulses and oilseeds",vegetables,2.6,0.58155648
"fruits, vegetables, pulses and oilseeds",vegetables,2.45,0.70339467
"fruits, vegetables, pulses and oilseeds",vegetables,2.26,0.58155648
"fruits, vegetables, pulses and oilseeds",vegetables,2.32,0.70339467
culinary aids and various ingredients,culinary aids,3.19,0.71829418
"fruits, vegetables, pulses and oilseeds",vegetables,2.7,0.45812589
"fruits, vegetables, pulses and oilseeds",vegetables,2.95,0.73471505
"fruits, vegetables, pulses and oilseeds",vegetables,2.43,0.3643211
baby food,small salted pots and infant dishes,2.39,0.75385415
drinks,water,2.51,0.26707462
"fruits, vegetables, pulses and oilseeds",fruits,2.68,0.64146382
culinary aids and various ingredients,various ingredients,2.68,0.3287981
cereal products,"pasta, rice and cereals",3.0,0.48323825
cereal products,flour and pie dough,2.57,0.71878192
cereal products,flour and pie dough,2.57,0.71867177
cereal products,flour and pie dough,2.57,0.71911716
starters and mixed dishes,mixed dishes,2.82,0.7602421
"fruits, vegetables, pulses and oilseeds",vegetables,2.38,0.66082048
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.8,0.73276483
"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,2.6,0.44728479
