monthly_hours,TariffRate,electricity_bill
584,8.1,4730.4
771,8.8,6784.8
643,8.2,5272.599999999999
552,7.8,4305.599999999999
683,8.8,6010.400000000001
436,7.8,3400.8
681,9.2,6265.2
668,8.7,5811.599999999999
381,8.8,3352.8
643,9.3,5979.900000000001
495,7.8,3861.0
544,8.2,4460.799999999999
675,7.7,5197.5
665,8.4,5586.0
243,9.3,2259.9
735,7.8,5733.0
587,9.1,5341.7
287,7.9,2267.3
756,7.4,5594.400000000001
460,8.1,3726.0
480,9.2,4416.0
345,8.2,2828.9999999999995
545,9.1,4959.5
407,8.8,3581.6000000000004
389,8.9,3462.1000000000004
519,8.2,4255.799999999999
662,8.1,5362.2
302,8.3,2506.6000000000004
582,8.5,4947.0
346,8.8,3044.8
506,8.9,4503.400000000001
487,8.1,3944.7
476,8.5,4046.0
373,9.1,3394.3
599,8.2,4911.799999999999
422,9.3,3924.6
351,7.6,2667.6
512,8.5,4352.0
569,7.6,4324.4
776,8.2,6363.2
467,8.1,3782.7
696,8.4,5846.400000000001
357,8.3,2963.1000000000004
325,8.9,2892.5
717,8.9,6381.3
419,9.1,3812.9
478,7.8,3728.4
548,7.6,4164.8
508,8.7,4419.599999999999
299,7.8,2332.2
537,8.2,4403.4
473,9.2,4351.599999999999
449,7.9,3547.1000000000004
618,7.7,4758.6
540,8.2,4428.0
530,8.1,4293.0
578,8.8,5086.400000000001
418,7.9,3302.2000000000003
406,7.4,3004.4
521,9.3,4845.3
458,7.9,3618.2
666,8.8,5860.8
325,9.2,2989.9999999999995
684,9.3,6361.200000000001
491,9.1,4468.099999999999
528,8.1,4276.8
742,7.6,5639.2
768,9.3,7142.400000000001
503,8.7,4376.099999999999
536,9.3,4984.8
472,7.4,3492.8
634,7.6,4818.4
438,8.5,3723.0
701,8.1,5678.099999999999
462,8.3,3834.6
601,7.9,4747.900000000001
408,7.4,3019.2000000000003
463,8.4,3889.2
602,8.4,5056.8
635,7.7,4889.5
563,7.7,4335.1
726,8.9,6461.400000000001
412,8.8,3625.6
675,7.9,5332.5
385,9.2,3541.9999999999995
744,7.6,5654.4
410,7.8,3198.0
591,7.6,4491.599999999999
521,8.8,4584.8
596,8.8,5244.8
415,8.3,3444.5000000000005
503,7.8,3923.4
526,7.9,4155.400000000001
377,8.9,3355.3
376,8.8,3308.8
724,8.9,6443.6
707,8.1,5726.7
365,8.7,3175.4999999999995
308,8.3,2556.4
543,8.7,4724.099999999999
355,8.3,2946.5000000000005
502,7.8,3915.6
455,8.3,3776.500000000001
543,7.9,4289.7
461,8.1,3734.1
633,8.4,5317.2
480,9.1,4368.0
348,8.7,3027.6
623,7.8,4859.4
465,8.3,3859.500000000001
371,8.3,3079.3
561,7.9,4431.900000000001
673,8.8,5922.400000000001
535,7.4,3959.0
513,9.1,4668.3
460,7.9,3634.0
483,8.2,3960.6
370,8.4,3108.0
678,8.4,5695.2
459,7.7,3534.3
717,7.6,5449.2
617,8.8,5429.6
488,9.3,4538.400000000001
614,7.9,4850.6
556,7.4,4114.400000000001
301,8.7,2618.7
569,9.1,5177.9
527,8.8,4637.6
322,7.8,2511.6
712,7.6,5411.2
442,8.2,3624.4
509,8.2,4173.799999999999
648,8.9,5767.2
394,8.8,3467.2000000000003
487,9.2,4480.4
504,8.3,4183.200000000001
514,8.5,4369.0
741,7.6,5631.599999999999
407,7.8,3174.6
522,9.1,4750.2
506,7.6,3845.6
420,8.8,3696.000000000001
735,7.4,5439.0
577,9.1,5250.7
397,9.1,3612.7
640,9.2,5888.0
395,8.9,3515.5
626,7.6,4757.599999999999
749,7.4,5542.6
594,8.4,4989.6
570,8.9,5073.0
719,9.2,6614.799999999999
468,9.2,4305.599999999999
589,8.2,4829.799999999999
689,7.6,5236.4
802,9.1,7298.2
650,9.1,5915.0
308,8.4,2587.2000000000003
743,8.3,6166.900000000001
528,8.8,4646.400000000001
600,7.8,4680.0
512,8.8,4505.6
486,8.8,4276.8
267,8.3,2216.1000000000004
299,8.7,2601.3
449,8.7,3906.3
602,8.7,5237.4
713,9.3,6630.900000000001
626,8.7,5446.2
383,8.5,3255.5
246,8.3,2041.8
564,8.9,5019.6
527,8.2,4321.4
515,9.1,4686.5
424,7.4,3137.6000000000004
427,7.4,3159.8
568,8.8,4998.400000000001
647,9.3,6017.1
474,7.8,3697.2
485,7.8,3783.0
426,9.3,3961.8
192,8.2,1574.4
408,7.8,3182.4
717,9.1,6524.7
403,7.8,3143.4
691,8.2,5666.2
518,8.8,4558.400000000001
311,9.1,2830.1
369,8.2,3025.8
585,8.2,4797.0
615,8.5,5227.5
496,7.8,3868.8
470,7.4,3478.0
601,9.2,5529.2
608,8.1,4924.8
536,7.4,3966.4
505,8.4,4242.0
622,8.2,5100.4
404,7.7,3110.8
427,7.8,3330.6
450,8.3,3735.000000000001
706,8.8,6212.8
888,8.7,7725.599999999999
509,7.6,3868.4
557,8.8,4901.6
572,8.5,4862.0
494,7.9,3902.6
508,8.9,4521.2
542,7.7,4173.400000000001
665,7.7,5120.5
362,8.2,2968.4
658,7.7,5066.6
690,9.2,6347.999999999999
521,8.3,4324.3
474,8.5,4029.0
553,7.9,4368.7
462,8.9,4111.8
584,8.3,4847.200000000001
387,7.7,2979.9
341,7.4,2523.4
375,7.8,2925.0
610,8.4,5124.0
485,7.6,3686.0
452,9.2,4158.4
605,9.1,5505.5
508,7.6,3860.8
432,8.2,3542.4
445,8.9,3960.5
689,8.5,5856.5
545,7.6,4142.0
276,9.3,2566.8
512,8.1,4147.2
411,8.5,3493.5
218,8.8,1918.4
446,7.8,3478.8
678,7.4,5017.2
749,9.2,6890.799999999999
477,9.3,4436.1
510,8.7,4437.0
552,8.5,4692.0
522,8.2,4280.4
743,7.6,5646.8
493,8.8,4338.400000000001
451,9.3,4194.3
381,7.8,2971.8
395,9.1,3594.5
508,8.4,4267.2
556,7.9,4392.400000000001
608,7.6,4620.8
598,7.8,4664.4
253,8.4,2125.2000000000003
429,7.9,3389.1000000000004
683,7.7,5259.1
470,9.2,4324.0
472,9.1,4295.2
376,7.6,2857.6
558,8.3,4631.400000000001
432,8.5,3672.0
294,8.8,2587.2000000000003
254,7.6,1930.4
597,8.7,5193.9
548,7.4,4055.2
411,8.4,3452.4
523,8.5,4445.5
438,8.8,3854.4
331,7.6,2515.6
372,9.1,3385.2
478,8.5,4063.0
607,8.9,5402.3
323,8.8,2842.4
236,7.6,1793.6
284,8.2,2328.8
484,7.8,3775.2
641,7.8,4999.8
424,8.3,3519.2000000000003
361,7.7,2779.7000000000003
546,9.3,5077.8
524,8.9,4663.6
629,8.2,5157.799999999999
664,7.4,4913.6
384,9.2,3532.8
587,7.7,4519.900000000001
363,7.6,2758.8
396,8.3,3286.8
421,8.5,3578.5
432,8.9,3844.8
529,8.8,4655.200000000001
600,8.5,5100.0
494,9.1,4495.4
454,8.3,3768.2
492,8.2,4034.4
456,8.9,4058.4
655,7.4,4847.0
228,9.2,2097.6
474,9.3,4408.200000000001
661,8.7,5750.7
611,7.7,4704.7
631,7.9,4984.900000000001
532,7.4,3936.8
741,8.7,6446.7
553,8.1,4479.3
638,7.7,4912.6
520,7.8,4056.0
539,7.9,4258.1
558,8.9,4966.2
598,8.2,4903.599999999999
685,8.2,5616.999999999999
456,7.4,3374.4
469,9.2,4314.799999999999
509,8.4,4275.6
590,7.7,4543.0
646,9.3,6007.8
535,8.4,4494.0
500,8.1,4050.0
419,8.7,3645.3
490,8.1,3969.0
627,9.2,5768.4
465,7.7,3580.5
501,7.4,3707.4
503,8.4,4225.2
478,7.4,3537.2000000000003
328,7.4,2427.2000000000003
528,7.6,4012.8
660,8.3,5478.000000000001
475,8.8,4180.0
490,8.4,4116.0
400,8.4,3360.0
722,8.3,5992.6
440,8.2,3608.0
613,9.3,5700.900000000001
493,7.8,3845.4
666,8.5,5661.0
525,8.3,4357.5
280,7.4,2072.0
543,9.3,5049.900000000001
704,7.9,5561.6
513,7.8,4001.4
658,7.9,5198.2
552,8.9,4912.8
398,7.9,3144.2000000000003
532,8.8,4681.6
557,8.9,4957.3
476,7.6,3617.6
634,8.1,5135.4
733,7.9,5790.7
552,8.3,4581.6
697,8.2,5715.4
384,7.6,2918.4
684,8.4,5745.6
567,8.8,4989.6
585,7.9,4621.5
539,7.6,4096.4
563,9.3,5235.900000000001
582,7.6,4423.2
553,8.5,4700.5
508,8.1,4114.8
547,8.1,4430.7
452,9.1,4113.2
534,8.2,4378.799999999999
480,8.3,3984.000000000001
590,9.1,5369.0
495,9.1,4504.5
557,7.9,4400.3
483,8.7,4202.099999999999
697,9.3,6482.1
486,8.9,4325.400000000001
561,8.4,4712.400000000001
672,8.5,5712.0
501,7.9,3957.9
521,8.1,4220.099999999999
227,7.9,1793.3000000000002
319,8.5,2711.5
531,7.6,4035.6
532,8.2,4362.4
715,7.6,5434.0
567,8.2,4649.4
487,8.8,4285.6
350,8.9,3115.0
439,8.1,3555.9
549,8.4,4611.6
525,8.7,4567.5
452,7.4,3344.8
532,7.6,4043.2
341,8.9,3034.9
294,8.9,2616.6
398,7.7,3064.6
589,8.9,5242.1
482,8.4,4048.8
580,9.3,5394.0
715,8.9,6363.5
298,8.4,2503.2000000000003
541,8.3,4490.3
493,7.9,3894.7
614,7.7,4727.8
417,8.9,3711.3
356,8.2,2919.2
451,8.8,3968.8
762,8.9,6781.8
361,7.9,2851.9
411,8.1,3329.1
631,8.7,5489.7
389,8.3,3228.7000000000003
607,8.7,5280.9
700,8.9,6230.0
444,8.4,3729.6
681,8.7,5924.7
525,8.4,4410.0
517,7.4,3825.8
306,8.7,2662.2
838,8.1,6787.799999999999
456,7.8,3556.8
448,8.2,3673.6
389,8.4,3267.6000000000004
495,8.4,4158.0
619,9.1,5632.9
600,7.6,4560.0
589,8.7,5124.299999999999
812,8.3,6739.6
544,8.9,4841.6
464,7.8,3619.2
497,8.7,4323.9
388,8.1,3142.8
431,8.5,3663.5
587,8.2,4813.4
639,8.2,5239.799999999999
611,8.2,5010.2
789,7.8,6154.2
508,7.9,4013.2
524,8.8,4611.200000000001
533,8.9,4743.7
579,7.8,4516.2
431,8.3,3577.3
443,9.2,4075.6
593,8.5,5040.5
734,8.1,5945.4
685,8.5,5822.5
493,8.9,4387.7
703,7.8,5483.4
650,8.2,5329.999999999999
641,9.1,5833.099999999999
735,8.1,5953.5
470,8.9,4183.0
511,7.4,3781.4
352,7.4,2604.8
512,9.3,4761.6
677,7.4,5009.8
663,8.5,5635.5
733,7.8,5717.4
599,8.8,5271.200000000001
302,8.9,2687.8
441,9.2,4057.2
367,8.7,3192.9
739,7.4,5468.6
422,8.5,3587.0
365,8.5,3102.5
617,9.3,5738.1
569,8.5,4836.5
452,7.8,3525.6
373,8.5,3170.5
547,7.7,4211.900000000001
487,8.3,4042.1
382,8.8,3361.6000000000004
546,8.4,4586.400000000001
712,8.4,5980.8
308,7.6,2340.8
488,7.6,3708.8
334,8.7,2905.8
572,9.2,5262.4
522,8.4,4384.8
709,7.7,5459.3
677,9.1,6160.7
487,9.3,4529.1
819,9.1,7452.9
691,8.4,5804.400000000001
477,8.1,3863.7
603,8.9,5366.7
589,8.3,4888.700000000001
470,8.4,3948.0
563,7.8,4391.4
341,8.8,3000.8
634,8.7,5515.799999999999
499,9.3,4640.700000000001
352,8.8,3097.6000000000004
686,8.1,5556.599999999999
306,8.4,2570.4
673,8.2,5518.599999999999
397,8.8,3493.6000000000004
591,8.2,4846.2
371,7.9,2930.9
455,8.7,3958.5
653,7.9,5158.7
505,8.2,4141.0
640,8.7,5568.0
674,8.9,5998.6
481,8.4,4040.4
363,7.7,2795.1
369,7.7,2841.3
410,9.1,3731.0
503,8.1,4074.3
693,7.7,5336.1
274,9.1,2493.4
213,9.3,1980.9
404,8.1,3272.4
726,9.2,6679.2
727,8.7,6324.9
788,9.3,7328.400000000001
457,7.9,3610.3
610,8.2,5002.0
412,9.3,3831.6
608,9.3,5654.400000000001
344,8.7,2992.8
415,8.5,3527.5
546,9.1,4968.599999999999
477,8.5,4054.5
642,7.8,5007.599999999999
517,9.3,4808.1
489,8.2,4009.8
635,8.5,5397.5
517,7.9,4084.3
489,8.5,4156.5
625,9.2,5750.0
505,8.7,4393.5
344,7.6,2614.4
645,7.4,4773.0
419,8.2,3435.8
536,8.8,4716.8
606,7.6,4605.599999999999
586,7.7,4512.2
498,8.1,4033.8
596,7.8,4648.8
668,8.1,5410.8
884,8.8,7779.200000000001
310,7.8,2418.0
816,8.9,7262.400000000001
677,7.9,5348.3
518,8.2,4247.599999999999
391,9.3,3636.3
502,8.1,4066.2
364,7.9,2875.6
486,8.7,4228.2
580,8.5,4930.0
702,8.5,5967.0
537,8.4,4510.8
386,8.9,3435.4
479,8.5,4071.5
523,9.3,4863.900000000001
483,9.1,4395.3
273,9.3,2538.9
398,9.1,3621.8
286,9.2,2631.2
710,8.2,5821.999999999999
602,9.2,5538.4
612,8.9,5446.8
447,8.1,3620.7
560,9.3,5208.0
534,7.7,4111.8
553,8.7,4811.099999999999
466,9.3,4333.8
496,8.4,4166.400000000001
494,8.9,4396.6
714,8.5,6069.0
309,7.7,2379.3
445,9.2,4094.0
690,8.7,6002.999999999999
350,7.8,2730.0
561,9.3,5217.3
480,9.3,4464.0
669,8.4,5619.6
434,7.8,3385.2
721,8.8,6344.8
577,8.5,4904.5
732,7.7,5636.400000000001
666,8.2,5461.2
562,7.9,4439.8
609,7.8,4750.2
676,8.3,5610.8
311,8.3,2581.3
467,7.9,3689.3
481,8.1,3896.1
409,8.8,3599.2000000000003
587,7.4,4343.8
451,8.3,3743.3
281,8.8,2472.8
317,7.7,2440.9
472,9.2,4342.4
551,9.2,5069.2
500,7.7,3850.0
439,8.5,3731.5
699,7.8,5452.2
623,8.4,5233.2
490,8.8,4312.0
495,7.4,3663.0
599,8.3,4971.700000000001
418,8.7,3636.6
581,9.2,5345.2
507,8.7,4410.9
362,8.8,3185.6000000000004
726,8.7,6316.2
427,8.2,3501.4
432,8.8,3801.6
628,8.7,5463.599999999999
313,7.7,2410.1
412,8.2,3378.4
747,8.9,6648.3
757,7.8,5904.599999999999
466,7.7,3588.2000000000003
517,8.8,4549.6
593,7.6,4506.8
575,7.8,4485.0
558,8.2,4575.599999999999
572,8.2,4690.4
634,9.1,5769.4
442,7.9,3491.8
492,8.1,3985.2
458,9.1,4167.8
533,8.8,4690.400000000001
560,7.9,4424.0
734,7.9,5798.6
426,7.7,3280.2000000000003
656,8.9,5838.400000000001
246,9.2,2263.2
521,8.9,4636.900000000001
317,9.2,2916.4
473,8.2,3878.6
672,8.8,5913.6
546,8.3,4531.8
461,7.9,3641.9
490,9.3,4557.0
576,8.3,4780.8
501,7.8,3907.8
444,7.8,3463.2
612,7.4,4528.8
636,9.1,5787.599999999999
428,9.1,3894.8
400,9.3,3720.000000000001
566,8.4,4754.400000000001
349,8.7,3036.3
587,8.7,5106.9
435,7.8,3393.0
490,8.5,4165.0
362,7.9,2859.8
366,7.9,2891.4
405,8.7,3523.4999999999995
525,8.9,4672.5
649,9.3,6035.700000000001
353,9.2,3247.6
225,9.1,2047.5
564,7.9,4455.6
600,9.2,5520.0
706,7.8,5506.8
752,9.1,6843.2
413,8.5,3510.5
436,7.7,3357.2000000000003
298,7.9,2354.2000000000003
673,7.7,5182.1
530,7.4,3922.0
429,7.7,3303.3
594,9.2,5464.799999999999
334,7.6,2538.4
490,8.9,4361.0
175,7.7,1347.5
607,8.3,5038.1
456,8.5,3876.0
657,8.4,5518.8
493,8.7,4289.099999999999
326,8.7,2836.2
725,8.8,6380.000000000001
491,8.7,4271.7
427,8.4,3586.8
649,7.9,5127.1
364,8.5,3094.0
635,7.4,4699.0
596,7.4,4410.400000000001
537,8.1,4349.7
535,8.7,4654.5
314,8.5,2669.0
395,8.8,3476.0000000000005
513,8.8,4514.400000000001
653,7.6,4962.8
463,9.1,4213.3
479,7.8,3736.2
579,8.9,5153.1
386,8.1,3126.6
578,8.1,4681.8
488,8.1,3952.8
604,8.9,5375.6
228,8.1,1846.8
394,8.4,3309.6000000000004
541,7.8,4219.8
543,9.1,4941.3
338,7.8,2636.4
497,8.5,4224.5
571,9.1,5196.099999999999
455,8.9,4049.5
629,8.9,5598.1
460,9.3,4278.0
805,7.9,6359.5
541,7.7,4165.7
413,7.4,3056.2000000000003
573,8.3,4755.900000000001
552,7.9,4360.8
465,7.9,3673.5
537,8.9,4779.3
560,8.5,4760.0
392,8.9,3488.8
337,9.3,3134.1000000000004
477,8.7,4149.9
488,8.4,4099.2
490,7.9,3871.0
626,8.8,5508.8
453,7.9,3578.7000000000003
503,9.2,4627.599999999999
514,7.6,3906.4
480,7.7,3696.0
638,8.9,5678.2
257,7.6,1953.2
676,8.2,5543.2
633,8.7,5507.099999999999
350,8.2,2869.9999999999995
656,7.7,5051.2
554,8.9,4930.6
675,8.3,5602.500000000001
690,8.5,5865.0
733,9.1,6670.3
438,9.1,3985.8
709,8.7,6168.299999999999
650,7.4,4810.0
350,8.1,2835.0
201,8.7,1748.6999999999998
628,9.1,5714.8
573,9.1,5214.3
529,9.1,4813.9
437,8.3,3627.1
516,8.5,4386.0
675,9.1,6142.5
360,7.4,2664.0
575,7.7,4427.5
409,7.9,3231.1000000000004
187,8.8,1645.6
597,8.9,5313.3
383,8.2,3140.6
389,8.7,3384.3
370,8.3,3071.0000000000005
735,7.7,5659.5
811,9.1,7380.099999999999
695,9.2,6393.999999999999
499,7.6,3792.4
529,8.3,4390.700000000001
636,7.6,4833.599999999999
646,8.4,5426.400000000001
470,7.7,3619.0
732,9.3,6807.6
750,9.2,6899.999999999999
528,8.2,4329.599999999999
568,9.1,5168.8
278,7.8,2168.4
407,7.4,3011.8
584,7.4,4321.6
267,8.5,2269.5
578,7.8,4508.4
519,7.7,3996.3
571,8.3,4739.3
569,8.3,4722.700000000001
588,8.7,5115.599999999999
524,7.7,4034.8
450,7.6,3420.0
698,8.1,5653.8
392,8.8,3449.6000000000004
692,9.1,6297.2
574,8.9,5108.6
397,8.4,3334.8
749,7.9,5917.1
393,7.7,3026.1
612,9.1,5569.2
533,7.7,4104.1
551,9.1,5014.099999999999
403,7.7,3103.1
601,7.8,4687.8
469,8.9,4174.1
511,7.8,3985.8
644,8.3,5345.200000000001
661,8.5,5618.5
544,9.3,5059.200000000001
352,8.7,3062.4
632,8.1,5119.2
482,8.9,4289.8
651,9.1,5924.099999999999
331,9.3,3078.3
714,7.8,5569.2
405,8.3,3361.5000000000005
508,8.5,4318.0
457,8.8,4021.6
358,9.1,3257.8
225,8.3,1867.5
678,8.1,5491.8
366,7.6,2781.6
396,7.7,3049.2000000000003
527,7.6,4005.2
345,8.7,3001.4999999999995
414,9.3,3850.2
553,7.8,4313.4
501,8.7,4358.7
495,8.9,4405.5
414,9.2,3808.8
423,8.3,3510.9
656,7.6,4985.599999999999
292,7.9,2306.8
588,8.3,4880.400000000001
522,8.3,4332.6
705,9.1,6415.5
462,8.7,4019.4
545,9.3,5068.5
715,8.8,6292.000000000001
688,8.3,5710.400000000001
756,9.2,6955.2
619,8.3,5137.700000000001
671,8.4,5636.400000000001
287,9.2,2640.4
615,8.3,5104.5
388,8.2,3181.6
525,7.6,3990.0
695,9.3,6463.500000000001
410,8.7,3566.9999999999995
292,8.1,2365.2
522,8.8,4593.6
467,7.6,3549.2
627,8.4,5266.8
669,7.8,5218.2
538,7.6,4088.8
490,8.7,4263.0
344,7.7,2648.8
643,8.9,5722.7
573,9.3,5328.900000000001
491,8.9,4369.900000000001
611,7.9,4826.900000000001
459,7.8,3580.2
700,7.9,5530.0
505,8.1,4090.5
584,8.5,4964.0
525,9.3,4882.5
263,7.6,1998.8
513,8.2,4206.599999999999
583,8.9,5188.7
576,9.1,5241.599999999999
379,8.2,3107.8
491,7.7,3780.7
595,7.4,4403.0
661,8.9,5882.900000000001
296,8.5,2516.0
459,7.4,3396.6000000000004
447,8.4,3754.8
640,8.4,5376.0
398,8.1,3223.8
743,9.2,6835.599999999999
514,8.3,4266.200000000001
686,8.8,6036.8
501,9.2,4609.2
481,8.5,4088.5
681,8.1,5516.099999999999
210,7.4,1554.0
507,9.2,4664.4
605,7.7,4658.5
657,7.8,5124.599999999999
578,8.9,5144.2
557,8.3,4623.1
597,8.3,4955.1
494,7.7,3803.8
621,7.6,4719.599999999999
630,7.7,4851.0
658,8.7,5724.599999999999
799,8.4,6711.6
411,7.9,3246.9
258,9.3,2399.4
524,7.4,3877.6
625,8.3,5187.5
501,8.4,4208.400000000001
395,8.3,3278.5000000000005
589,7.9,4653.1
730,7.9,5767.0
611,8.7,5315.7
536,9.2,4931.2
594,7.7,4573.8
300,7.9,2370.0
555,8.8,4884.0
602,8.1,4876.2
507,7.8,3954.6
280,7.8,2184.0
445,8.4,3738.0
634,9.3,5896.200000000001
363,8.2,2976.6
341,9.3,3171.3
478,9.3,4445.400000000001
655,9.1,5960.5
799,9.3,7430.700000000001
715,7.7,5505.5
546,8.2,4477.2
547,7.8,4266.599999999999
705,8.8,6204.000000000001
593,7.9,4684.7
515,8.1,4171.5
413,8.7,3593.1
432,7.6,3283.2
411,8.9,3657.9
451,9.2,4149.2
500,7.6,3800.0
590,8.3,4897.0
462,7.6,3511.2
537,8.8,4725.6
332,8.5,2822.0
533,8.1,4317.3
252,7.9,1990.8
512,7.6,3891.2
541,7.6,4111.599999999999
297,8.2,2435.4
530,9.2,4876.0
427,8.7,3714.9
344,9.3,3199.2000000000003
393,8.4,3301.2000000000003
663,8.7,5768.099999999999
255,8.1,2065.5
352,7.7,2710.4
511,8.3,4241.3
449,8.3,3726.7
524,9.3,4873.200000000001
474,7.4,3507.6000000000004
616,7.8,4804.8
504,8.4,4233.6
368,8.9,3275.2000000000003
678,8.8,5966.400000000001
358,8.3,2971.4
713,8.9,6345.7
306,7.8,2386.8
489,7.9,3863.1
401,9.3,3729.3
662,7.9,5229.8
479,8.7,4167.299999999999
471,8.5,4003.5
236,8.1,1911.6
498,8.5,4233.0
589,8.8,5183.200000000001
521,7.9,4115.900000000001
585,8.1,4738.5
528,8.4,4435.2
746,7.7,5744.2
427,8.3,3544.1000000000004
565,7.6,4294.0
488,7.4,3611.2
670,8.5,5695.0
646,8.2,5297.2
423,7.9,3341.7000000000003
829,7.7,6383.3
546,8.1,4422.599999999999
753,8.4,6325.2
256,8.9,2278.4
568,7.6,4316.8
453,7.7,3488.1
609,7.9,4811.1
362,7.8,2823.6
389,9.3,3617.7
549,8.3,4556.700000000001
383,8.4,3217.2000000000003
437,9.3,4064.1
455,9.3,4231.5
268,7.7,2063.6
676,9.2,6219.2
488,9.2,4489.599999999999
465,7.4,3441.0
444,7.9,3507.6000000000004
399,7.6,3032.4
651,8.9,5793.900000000001
507,7.4,3751.8
413,7.9,3262.7000000000003
316,9.2,2907.2
814,9.2,7488.799999999999
540,9.1,4914.0
553,7.7,4258.1
603,7.4,4462.2
584,8.4,4905.6
385,8.2,3156.9999999999995
556,9.1,5059.599999999999
489,8.9,4352.1
474,7.9,3744.6
454,7.9,3586.6000000000004
475,8.4,3990.0
711,8.3,5901.3
556,8.1,4503.599999999999
414,7.7,3187.8
524,7.9,4139.6
403,7.4,2982.2000000000003
754,7.8,5881.2
574,8.7,4993.799999999999
313,9.3,2910.9
211,8.9,1877.9
465,8.7,4045.5
364,7.4,2693.6
396,7.4,2930.4
606,8.8,5332.8
464,7.7,3572.8
419,8.8,3687.2
648,7.4,4795.2
314,8.7,2731.8
659,8.5,5601.5
320,9.1,2912.0
530,8.3,4399.0
451,8.9,4013.9
479,8.1,3879.9
680,8.9,6052.0
607,7.7,4673.900000000001
579,9.3,5384.700000000001
478,7.9,3776.2
415,8.9,3693.5
660,9.1,6006.0
388,7.7,2987.6
471,8.1,3815.1
288,7.4,2131.2000000000003
752,8.7,6542.4
386,9.3,3589.8
335,9.3,3115.5000000000005
516,7.8,4024.8
606,8.9,5393.400000000001
606,8.3,5029.8
621,9.2,5713.2
587,8.3,4872.1
522,7.4,3862.8
662,9.2,6090.4
585,8.4,4914.0
403,8.7,3506.1
736,8.5,6256.0
582,7.4,4306.8
582,9.3,5412.6
323,8.9,2874.7000000000003
410,7.4,3034.0
644,8.4,5409.6
529,8.4,4443.6
478,8.4,4015.2
428,7.7,3295.6
495,7.6,3762.0
363,8.5,3085.5
542,7.9,4281.8
448,8.9,3987.2
563,8.4,4729.2
542,9.3,5040.6
635,8.3,5270.5
556,8.4,4670.400000000001
463,8.7,4028.1
489,8.8,4303.200000000001
239,7.4,1768.6
444,7.4,3285.6000000000004
670,7.6,5092.0
471,9.1,4286.099999999999
258,8.5,2193.0
313,7.8,2441.4
444,7.7,3418.8
482,7.4,3566.8
529,7.8,4126.2
343,7.7,2641.1
680,8.8,5984.000000000001
610,8.9,5429.0
522,7.9,4123.8
589,8.4,4947.6
598,9.3,5561.400000000001
527,8.3,4374.1
807,8.8,7101.6
497,7.7,3826.9
386,8.5,3281.0
231,8.8,2032.8
490,7.7,3773.0
480,8.4,4032.0
507,7.7,3903.9
504,8.1,4082.4
590,9.2,5428.0
487,7.7,3749.9
438,8.4,3679.2
664,7.6,5046.4
622,8.3,5162.6
565,9.2,5198.0
420,8.9,3738.0
481,7.4,3559.4
334,9.3,3106.2000000000003
337,7.4,2493.8
391,7.6,2971.6
780,9.3,7254.000000000001
525,8.5,4462.5
284,9.2,2612.8
